name	kind	source_kind	layer	defined_in
git_error_set	symbol	function_exported	0	src/util/errors.c
git_apply_flags_t	type	enum	0	include/git2/apply.h
git_cert_ssh_raw_type_t	type	enum	0	include/git2/cert.h
git_cert_ssh_t	type	enum	0	include/git2/cert.h
git_checkout_strategy_t	type	enum	0	include/git2/checkout.h
git_diff_line_t	type	enum	0	include/git2/diff.h
git_diff_option_t	type	enum	0	include/git2/diff.h
git_email_create_flags_t	type	enum	0	include/git2/email.h
git_error_code	type	enum	0	include/git2/errors.h
git_error_t	type	enum	0	include/git2/errors.h
git_merge_file_flag_t	type	enum	0	include/git2/merge.h
git_packbuilder_stage_t	type	enum	0	include/git2/pack.h
git_repository_init_flag_t	type	enum	0	include/git2/repository.h
git_smart_service_t	type	enum	0	include/git2/sys/transport.h
git_smart_subtransport_stream	type	struct	0	include/git2/sys/transport.h
git_status_opt_t	type	enum	0	include/git2/status.h
git_worktree_prune_t	type	enum	0	include/git2/worktree.h
git_revwalk_hide_cb	callback	callback	1	include/git2/revwalk.h
git_stash_apply_progress_cb	callback	callback	1	include/git2/stash.h
git_stash_cb	callback	callback	1	include/git2/stash.h
git_submodule_cb	callback	callback	1	include/git2/submodule.h
git_tag_foreach_cb	callback	callback	1	include/git2/tag.h
git_trace_cb	callback	callback	1	include/git2/trace.h
git_treebuilder_filter_cb	callback	callback	1	include/git2/tree.h
git_treewalk_cb	callback	callback	1	include/git2/tree.h
git_url_resolve_cb	callback	callback	1	include/git2/remote.h
git_repository_set_head	symbol	function_exported	1	src/libgit2/repository.c
git_repository_set_head_detached	symbol	function_exported	1	src/libgit2/repository.c
git_repository_set_head_detached_from_annotated	symbol	function_exported	1	src/libgit2/repository.c
git_repository_set_namespace	symbol	function_exported	1	src/libgit2/repository.c
git_repository_set_refdb	symbol	function_exported	1	src/libgit2/repository.c
git_repository_set_workdir	symbol	function_exported	1	src/libgit2/repository.c
git_repository_state	symbol	function_exported	1	src/libgit2/repository.c
git_repository_state_cleanup	symbol	function_exported	1	src/libgit2/repository.c
git_repository_workdir	symbol	function_exported	1	src/libgit2/repository.c
git_reset_default	symbol	function_exported	1	src/libgit2/reset.c
git_revparse_ext	symbol	function_exported	1	src/libgit2/revparse.c
git_revparse_single	symbol	function_exported	1	src/libgit2/revparse.c
git_revwalk_hide	symbol	function_exported	1	src/libgit2/revwalk.c
git_revwalk_hide_glob	symbol	function_exported	1	src/libgit2/revwalk.c
git_revwalk_hide_head	symbol	function_exported	1	src/libgit2/revwalk.c
git_revwalk_hide_ref	symbol	function_exported	1	src/libgit2/revwalk.c
git_revwalk_new	symbol	function_exported	1	src/libgit2/revwalk.c
git_revwalk_next	symbol	function_exported	1	src/libgit2/revwalk.c
git_revwalk_push	symbol	function_exported	1	src/libgit2/revwalk.c
git_revwalk_push_glob	symbol	function_exported	1	src/libgit2/revwalk.c
git_revwalk_push_head	symbol	function_exported	1	src/libgit2/revwalk.c
git_revwalk_push_range	symbol	function_exported	1	src/libgit2/revwalk.c
git_revwalk_push_ref	symbol	function_exported	1	src/libgit2/revwalk.c
git_revwalk_reset	symbol	function_exported	1	src/libgit2/revwalk.c
git_revwalk_simplify_first_parent	symbol	function_exported	1	src/libgit2/revwalk.c
git_revwalk_sorting	symbol	function_exported	1	src/libgit2/revwalk.c
git_stash_drop	symbol	function_exported	1	src/libgit2/stash.c
git_status_file	symbol	function_exported	1	src/libgit2/status.c
git_status_list_entrycount	symbol	function_exported	1	src/libgit2/status.c
git_status_should_ignore	symbol	function_exported	1	src/libgit2/status.c
git_submodule_add_finalize	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_add_setup	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_add_to_index	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_branch	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_head_id	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_ignore	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_index_id	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_init	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_lookup	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_name	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_open	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_path	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_reload	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_repo_init	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_set_branch	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_set_ignore	symbol	function_exported	1	src/libgit2/submodule.c
git_submodule_set_update	symbol	function_exported	1	src/libgit2/submodule.c
